date,year,month,month_name,day,day_of_week,country,region,state,city,latitude,longitude,group_name,attack_type,target_type,weapon_type,killed,wounded,casualties,log_casualties,success,suicide,summary
2012-01-05,2012,1,January,5,Thursday,Iraq,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,Muslim extremists,Bombing/Explosion,Private Citizens & Property,Explosives,6.0,19.0,25.0,3.258096538021482,1,0,"01/05/2012: An explosive device attached to a motorcycle detonated near a group of day laborers waiting to board a bus in Sadr city neighborhood, Baghdad city, Baghdad governorate, Iraq. Eight people were killed and 10 injured in this attack. This was one of five similar attacks in Iraq on this date. No group claimed responsibility for the incident, but sources suspected Sunnis."
2012-01-05,2012,1,January,5,Thursday,Iraq,Middle East & North Africa,Al Anbar,Al-Kazimiyah,33.31385,44.186691,Muslim extremists,Bombing/Explosion,Private Citizens & Property,Explosives,8.0,16.0,24.0,3.2188758248682006,1,0,"01/05/2012: An explosives-laden vehicle detonated in a public square in Al-Kazimiyah area, Al Anbar governorate, Iraq. This was one of five attacks against Shias on this date in Iraq and one of two attacks in Al-Kazimiyah. Across the two attacks in Al-Kazimiyah, 15 people were killed and 32 injured. No group claimed responsibility, but sources attributed the incident to Sunnis."
2012-01-07,2012,1,January,7,Saturday,Iraq,Middle East & North Africa,Babil,Mahmudiyah,33.057991,44.354839,Muslim extremists,Bombing/Explosion,Private Citizens & Property,Explosives,2.0,8.0,10.0,2.3978952727983707,1,0,"01/07/2012: A roadside bomb targeting Shia pilgrims walking to Karbala exploded in Mahmudiyah town, Babil governorate, Iraq. Two people were killed and eight injured in the blast. No group claimed responsibility for the incident, but sources suspected Sunni extremists."
2012-01-24,2012,1,January,24,Tuesday,Iraq,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,Al-Qaida in Iraq,Assassination,Terrorists/Non-State Militia,Firearms,1.0,0.0,1.0,0.6931471805599453,1,0,"01/24/2012: Mulla Nadhim al-Jubouri, a senior leader for the Sahwa militia and an Al-Qa'ida expert, was shot and killed in Jamis neighborhood, Mansour district, Baghdad governorate, Iraq. No group claimed responsibility, but the Interior Ministry accused Al-Qa'ida in Iraq of complicity in the incident."
2012-02-19,2012,2,February,19,Sunday,Iraq,Middle East & North Africa,Diyala,Baqubah,33.74324,44.623825,Al-Qaida in Iraq,Armed Assault,Private Citizens & Property,Firearms,4.0,0.0,4.0,1.6094379124341003,1,0,"02/19/2012: Gunmen attacked a family of police informers in Baqubah city, Diyala governorate, Iraq. Four family members were killed. No group claimed responsibility for the attack; however, sources suspected Al-Qa'ida in Iraq (AQI)."
2012-02-23,2012,2,February,23,Thursday,Iraq,Middle East & North Africa,Baghdad,Baghdad,33.271403,44.493661,Al-Qaida in Iraq,Bombing/Explosion,Private Citizens & Property,Explosives,1.0,11.0,12.0,2.5649493574615367,1,0,"02/23/2012: An explosives-laden vehicle detonated near a police checkpoint in Karadah district, Baghdad city, Baghdad governorate, Iraq. One person was killed in the blast and 11 more were injured. This was one of two coordinated attacks at the same location and one of 32 coordinated incidents across Iraq on the same day. Al-Qa'ida in Iraq claimed responsibility for the incidents, stating that they were in retaliation for the torture and genocide that Sunni civilians face in Iraqi prisons."
2012-02-23,2012,2,February,23,Thursday,Iraq,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,Al-Qaida in Iraq,Armed Assault,Police,Firearms,6.0,3.0,9.0,2.302585092994046,1,0,"02/23/2012: Assailants opened fire on a police checkpoint in Adhamiyah district, Baghdad city, Baghdad governorate, Iraq. Six people were killed and three more injured in the attack. This was one of 32 coordinated incidents across Iraq on the same day. Al-Qa'ida in Iraq claimed responsibility for the attacks, stating that they were in retaliation for the torture and genocide that Sunni civilians face in Iraqi prisons."
2012-02-23,2012,2,February,23,Thursday,Iraq,Middle East & North Africa,Saladin,Baiji,34.92485,43.491413,Al-Qaida in Iraq,Bombing/Explosion,Private Citizens & Property,Explosives,3.0,5.0,8.0,2.1972245773362196,1,0,"02/23/2012: An explosives-laden vehicle detonated near the courthouse in Baiji city, Saladin governorate, Iraq. Three people were killed in the blast, and another five were injured. This was one of 32 coordinated incidents across Iraq on the same day. Al-Qa'ida in Iraq claimed responsibility for the attacks, stating that they were in retaliation for the torture and genocide that Sunni civilians face in Iraqi prisons."
2012-02-23,2012,2,February,23,Thursday,Iraq,Middle East & North Africa,Saladin,Dujail,33.835629,44.247406,Al-Qaida in Iraq,Bombing/Explosion,Private Citizens & Property,Explosives,1.0,3.0,4.0,1.6094379124341003,1,0,"02/23/2012: An explosives-laden vehicle detonated in Al-Dejail city, Saladin governorate, Iraq. One person was killed and three more were injured in the blast. This was one of 32 coordinated incidents across Iraq on the same day. Al-Qa'ida in Iraq claimed responsibility for the attacks, stating that they were in retaliation for the torture and genocide that Sunni civilians face in Iraqi prisons."
2012-02-23,2012,2,February,23,Thursday,Iraq,Middle East & North Africa,Saladin,Tuz Khormato,34.881348,44.62513,Al-Qaida in Iraq,Bombing/Explosion,Private Citizens & Property,Explosives,0.0,5.0,5.0,1.791759469228055,1,0,"02/23/2012: An explosives-laden vehicle detonated outside of the Patriotic Union of Kurdistan (PUK) office in Tuz Khurmatu city, Saladin governorate, Iraq. Five people were injured in the blast. This was one of 32 coordinated incidents across Iraq on the same day. Al-Qa'ida in Iraq claimed responsibility for the attacks, stating that they were in retaliation for the torture and genocide that Sunni civilians face in Iraqi prisons."
2012-02-23,2012,2,February,23,Thursday,Iraq,Middle East & North Africa,Saladin,Sulayman Beg,34.533753,43.483738,Al-Qaida in Iraq,Armed Assault,Government (General),Firearms,2.0,3.0,5.0,1.791759469228055,1,0,"02/23/2012: Assailants opened fire on a government office in Sulaiman Pek district, Saladin governorate, Iraq. Two police officers were killed and three people were injured, including the police chief and head of the municipal council. This was one of 32 coordinated incidents across Iraq on the same day. Al-Qa'ida in Iraq claimed responsibility for the attacks, stating that they were in retaliation for the torture and genocide that Sunni civilians face in Iraqi prisons."
2012-02-23,2012,2,February,23,Thursday,Iraq,Middle East & North Africa,Diyala,Baqubah,33.74324,44.623825,Al-Qaida in Iraq,Bombing/Explosion,Private Citizens & Property,Explosives,3.0,8.0,11.0,2.4849066497880004,1,0,"02/23/2012: At least one explosives-laden vehicle detonated in Baqubah city, Diyala governorate, Iraq. At least three people were killed and another eight were injured in the blast. This was one of 32 coordinated incidents across Iraq on the same day. Al-Qa'ida in Iraq claimed responsibility for the attacks, stating that they were in retaliation for the torture and genocide that Sunni civilians face in Iraqi prisons."
